time,energy,event_type,wattmin,epower
37983.7,4.0024e+08,e,90900,18340
37990.7,4.00368e+08,e,90900,18260
38000.3,4.00544e+08,e,90900,18180
38172.3,4.03657e+08,e,90900,18100
38223.3,4.04576e+08,e,90900,18020
38246.7,4.04995e+08,e,90900,17940
38250.3,4.0506e+08,e,90900,17860
38251,4.05072e+08,e,90900,17780
38310.7,4.06128e+08,e,90900,17700
38318.7,4.06269e+08,e,90900,17620
38378.7,4.07322e+08,e,90900,17540
38390,4.07519e+08,e,90900,17460
38406.3,4.07803e+08,e,90900,17380
38442,4.0842e+08,e,90900,17300
38487,4.09195e+08,e,90900,17220
38507.7,4.0955e+08,e,90900,17140
38622.7,4.11511e+08,e,90900,17060
38645,4.11891e+08,e,90900,16980
39014.7,4.18138e+08,e,90900,16900
39029,4.18379e+08,e,90900,16820
39034,4.18463e+08,e,90900,16740
39037,4.18513e+08,e,90900,16660
39041.3,4.18585e+08,e,90900,16580
39042.7,4.18607e+08,e,90900,16500
39044.3,4.18634e+08,e,90900,16420
39045.3,4.1865e+08,e,90900,16340
39045.7,4.18656e+08,e,90900,16260
39046.7,4.18672e+08,e,90900,16180
39048.7,4.18704e+08,e,90900,16100
39048.7,4.18704e+08,e,90900,16020
39049.3,4.18715e+08,e,90900,15940
39053,4.18773e+08,e,90900,15860
39055.7,4.18815e+08,e,90900,15780
39057.3,4.18841e+08,e,90900,15700
39057.3,4.18841e+08,e,90900,15620
39058.7,4.18862e+08,e,90900,15540
39060,4.18882e+08,e,90900,15460
39060.7,4.18893e+08,e,90900,15380
39062.3,4.18918e+08,e,90900,15300
39064.3,4.18949e+08,e,90900,15220
39065.7,4.18969e+08,e,90900,15140
39070.3,4.19039e+08,e,90900,15060
39076,4.19124e+08,e,90900,14980
39076.7,4.19134e+08,e,90900,14900
39078.3,4.19159e+08,e,90900,14820
39083,4.19227e+08,e,90900,14740
39089.7,4.19325e+08,e,90900,14660
39092,4.19359e+08,e,90900,14580
39092.7,4.19369e+08,e,90900,14500
39101.3,4.19494e+08,e,90900,14420
39103.3,4.19523e+08,e,90900,14340
39110.3,4.19622e+08,e,90900,14260
39114,4.19674e+08,e,90900,14180
39116,4.19703e+08,e,90900,14100
39119,4.19745e+08,e,90900,14020
39123,4.198e+08,e,90900,13940
39130.3,4.19902e+08,e,90900,13860
39134.3,4.19957e+08,e,90900,13780
39143.7,4.20085e+08,e,90900,13700
39147.7,4.20139e+08,e,90900,13620
39173,4.20482e+08,e,90900,13540
40388.7,4.36845e+08,e,90900,13460
45214.3,5.01413e+08,e,90900,13380
46267.3,5.15418e+08,e,90900,13300
46781,5.22208e+08,e,90900,13220
46788,5.223e+08,e,90900,13140
46793.3,5.2237e+08,e,90900,13060
46833,5.22885e+08,e,90900,12980
46836,5.22924e+08,e,90900,12900
46919.7,5.23996e+08,e,90900,12820
46920.3,5.24005e+08,e,90900,12740
47050,5.25646e+08,e,90900,12660
47105.3,5.26342e+08,e,90900,12580
47249.3,5.28142e+08,e,90900,12500
47306.7,5.28854e+08,e,90900,12420
47376.7,5.29718e+08,e,90900,12340
47442,5.30519e+08,e,90900,12260
