,time,transfer_history.first_attached_node,transfer_history.last_chunk_id,transfer_history.last_completion_date_string,transfer_history.last_creation_date_string,transfer_history.last_data_type,transfer_history.last_data_type_1,transfer_history.last_direction,transfer_history.last_qbox,transfer_history.last_qguid,transfer_history.last_remote_location_name,transfer_history.last_session,transfer_history.last_state,transfer_history.last_task,transfer_history.last_transfer_direction,transfer_history.last_transfer_type,transfer_history.last_transfer_type_1,transfer_history.mean_actually_transferred_size,transfer_history.mean_cached_data_size,transfer_history.mean_time_transfer_sec,transfer_history.mean_transfer_size
6250,2019-03-14T05:29:00.000Z,QBOX-2000-0000-0000-000000000004,,14/03/2019\ 05:28:52,14/03/2019\ 05:28:48,,,,QBOX-2000-0000-0000-000000000004,SCDL-10dc-0110-feac-9cefab5d8561,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0628-b204-ba6c8e1f351f,Down,Docker,,0.0,12135844892.0,8.0,68093569.0
6256,2019-03-14T05:30:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:29:59,14/03/2019\ 05:29:53,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-9f86-38da-e1fc-5a37350b07b8,33574517de06a3434b7e86c4e34a727eaf60fbed4d85b6d2ac586f55cfb4f768,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-0624-02b2-abd501b92a78,Down,S3,Docker,0.0,2897611782.333333,4.0,2895799977.333333
6272,2019-03-14T05:32:40.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:32:39,14/03/2019\ 05:32:35,UserData,UserData,Down,QBOX-9000-0000-0000-000000000005,SCDL-ff6b-13d6-0e43-968b9b559e65,fb9cecfb45eed643a09ee618bd77e5cfc781ee1829ccd52bd9eccd263298e073,QSES-0314-0624-02b2-abd501b92a78,Completed,QJOB-0314-0624-94fc-5125f51c1010,Down,S3,S3,5.0,1580.0,4.0,5.0
6273,2019-03-14T05:32:50.000Z,QBOX-9000-0000-0000-000000000005,0.0,14/03/2019\ 05:32:51,14/03/2019\ 05:32:47,UserResult,UserResult,Up,QBOX-9000-0000-0000-000000000005,SCUL-3e8d-d744-be74-302df61887ed,fb9cecfb45eed643a09ee618bd77e5cfc781ee1829ccd52bd9eccd263298e073,QSES-0314-0624-02b2-abd501b92a78,Completed,QJOB-0314-0624-9bc0-77046a0d0f7c,Up,S3,S3,22.0,238.0,2.52,22.0
6277,2019-03-14T05:33:30.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:33:21,14/03/2019\ 05:33:14,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-ad70-107b-5d3f-d7a270f6c3eb,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0633-3728-ed391c8c2e65,Down,S3,Docker,0.0,35177768.333333336,5.0,33365963.33333333
6286,2019-03-14T05:35:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:34:52,14/03/2019\ 05:34:50,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-c0a9-545a-eb06-011b238dc621,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0634-c039-bb61ae13eb4d,Down,Docker,Docker,0.0,36532571.0,3.5,33814863.5
6295,2019-03-14T05:36:30.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:36:20,14/03/2019\ 05:36:17,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-8d23-4dd1-ce38-40eed35ad4d9,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0636-4408-62ea5ff9ce59,Down,Docker,Docker,0.0,29226145.8,4.2,27051890.8
6302,2019-03-14T05:37:40.000Z,QBOX-9000-0000-0000-000000000005,0.0,14/03/2019\ 05:37:41,14/03/2019\ 05:37:39,UserResult,UserResult,Up,QBOX-9000-0000-0000-000000000005,SCUL-1fa7-bc05-f7ff-1673ff9cd8c7,62bdd56387326f1e9a06abf986294635c8adba6ea729d662bb5fc14a4af3062f,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0636-4408-62ea5ff9ce59,Up,S3,S3,445.0,0.0,2.0,445.0
6304,2019-03-14T05:38:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:38:02,14/03/2019\ 05:37:57,Docker,Docker,Down,QBOX-4000-0000-1000-000000000005,SCDL-f9a2-e4d6-40f8-2f917098a1e8,bb8d1212035eaf00c84112073fa82aae044c5b90d3c6bbfa83f58cf7922f089a,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0637-dbd8-9ea7dc8131c5,Down,QDisk,Docker,0.0,57768492.07692308,4.9230769230769225,54841730.15384615
6305,2019-03-14T05:38:10.000Z,QBOX-4000-0000-1000-000000000005,,14/03/2019\ 05:38:08,14/03/2019\ 05:38:00,,,,QBOX-4000-0000-1000-000000000005,SCDL-e197-ba45-cf6f-a14dc3607baf,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0637-e893-70320e1bb96a,Down,QDisk,,0.0,46801363.375,5.25,44083655.875
