,time,transfer_history.first_attached_node,transfer_history.last_chunk_id,transfer_history.last_completion_date_string,transfer_history.last_creation_date_string,transfer_history.last_data_type,transfer_history.last_data_type_1,transfer_history.last_direction,transfer_history.last_qbox,transfer_history.last_qguid,transfer_history.last_remote_location_name,transfer_history.last_session,transfer_history.last_state,transfer_history.last_task,transfer_history.last_transfer_direction,transfer_history.last_transfer_type,transfer_history.last_transfer_type_1,transfer_history.mean_actually_transferred_size,transfer_history.mean_cached_data_size,transfer_history.mean_time_transfer_sec,transfer_history.mean_transfer_size
1804,2019-03-14T18:09:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 18:09:06,14/03/2019\ 18:09:00,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-8e5e-3eee-3ec5-b31480405579,bc0647bd70ce33c64470a0c5d06d63737a25a0934baa34d846afce140a90224e,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-1908-e9c6-37dd2109119a,Down,S3,Docker,0.0,35183599.0,4.0,33371794.0
1805,2019-03-14T18:10:00.000Z,QBOX-4000-0000-1000-000000000001,,14/03/2019\ 18:10:29,14/03/2019\ 18:10:25,,,,QBOX-4000-0000-1000-000000000001,SCDL-4223-0053-875d-d8a508614bf4,,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-1910-5b28-c0eb53f052c4,Down,Docker,,0.0,32468163.0,4.0,32468163.0
1806,2019-03-14T18:11:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 18:11:40,14/03/2019\ 18:11:38,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-16b4-b2cb-0b11-b8bd5d4436fc,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1911-949f-f34285516b33,Down,Docker,Docker,0.0,24361026.33333333,3.0,22549073.0
1808,2019-03-14T18:13:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 18:13:35,14/03/2019\ 18:13:29,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-88ea-7a59-b58c-7c8ede521fa8,bc0647bd70ce33c64470a0c5d06d63737a25a0934baa34d846afce140a90224e,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-1913-732b-0f721d8654e9,Down,S3,Docker,127.14285714285714,24355303.28571429,17.142857142857142,23578942.57142857
1809,2019-03-14T18:14:00.000Z,QBOX-9000-0000-0000-000000000005,0.0,14/03/2019\ 18:14:44,14/03/2019\ 18:14:41,UserResult,Basesystem,Down,QBOX-9000-0000-0000-000000000005,SCDL-09bf-ac0a-b789-beec604433ea,bc0647bd70ce33c64470a0c5d06d63737a25a0934baa34d846afce140a90224e,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-1913-62bd-e47ca86efeff,Up,S3,S3,55.625,14212360.625,22.625,12853340.0
1810,2019-03-14T18:15:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 18:15:48,14/03/2019\ 18:15:45,UserData,Docker,Down,QBOX-4000-0000-1000-000000000001,SCDL-6cd6-49e7-befe-24704f2b75b6,bc0647bd70ce33c64470a0c5d06d63737a25a0934baa34d846afce140a90224e,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1915-a501-33ac4cda56ec,Down,QDisk,Docker,12515511.8,467151257.8,42.1,312179747.5
1811,2019-03-14T18:16:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 18:16:43,14/03/2019\ 18:16:38,Docker,Basesystem,Down,QBOX-9000-0000-0000-000000000005,SCDL-4e11-2bf5-1424-3ace5424029d,bc0647bd70ce33c64470a0c5d06d63737a25a0934baa34d846afce140a90224e,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-1916-92b4-6411dd64d8dc,Down,S3,S3,197.77777777777774,12633110.555555554,2.7777777777777777,11425339.444444446
1812,2019-03-14T18:17:00.000Z,QBOX-4000-0000-1000-000000000001,,14/03/2019\ 18:17:42,14/03/2019\ 18:17:40,,,,QBOX-4000-0000-1000-000000000001,SCDL-f7ef-c615-acde-6f3a7eb2d3d0,,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-1917-9c6f-c6658342e2be,Down,Docker,,0.0,32468163.0,2.0,32468163.0
1813,2019-03-14T18:18:00.000Z,QBOX-4000-0000-1000-000000000001,-1.0,14/03/2019\ 18:18:49,14/03/2019\ 18:18:46,Docker,Docker,Down,QBOX-4000-0000-1000-000000000005,SCDL-d4f4-d297-30d9-56d20d0da4d1,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1918-b093-a31e3359120e,Down,Docker,Docker,0.0,28690055.4,10.266666666666667,26878161.4
1814,2019-03-14T18:19:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 18:19:43,14/03/2019\ 18:19:41,Docker,Docker,Down,QBOX-4000-0000-1000-000000000001,SCDL-2c6c-6c5e-6c11-8b9952a25ce9,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,QSES-0314-1917-a747-357ae95e1ae5,Completed,QJOB-0314-1917-aba6-065d93c4b2ae,Down,QDisk,Docker,0.0,29527235.363636363,3.954545454545455,27550639.90909091
1815,2019-03-14T18:20:00.000Z,QBOX-4000-0000-1000-000000000001,-1.0,14/03/2019\ 18:20:39,14/03/2019\ 18:20:34,Docker,Basesystem,Down,QBOX-9000-0000-0000-000000000005,SCDL-1b68-09d9-02a5-b31726181dc2,bc0647bd70ce33c64470a0c5d06d63737a25a0934baa34d846afce140a90224e,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1920-85f5-98aa0ea28979,Down,S3,S3,0.0,35726686.2,4.2,33552520.2
1817,2019-03-14T18:22:00.000Z,QBOX-4000-0000-1000-000000000001,-1.0,14/03/2019\ 18:22:20,14/03/2019\ 18:22:18,Docker,Docker,Down,QBOX-4000-0000-1000-000000000001,SCDL-1893-116f-431b-6360d55709fe,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1922-3b8e-94cbc1ff7064,Down,Docker,Docker,0.0,33426552.17647059,2.7058823529411766,32787091.58823529
1818,2019-03-14T18:23:00.000Z,QBOX-6000-0000-0000-000000000005,-1.0,14/03/2019\ 18:23:50,14/03/2019\ 18:23:48,UserData,Basesystem,Down,QBOX-4000-0000-1000-000000000001,SCDL-2119-dbef-47e9-ab5ede9c1423,bc0647bd70ce33c64470a0c5d06d63737a25a0934baa34d846afce140a90224e,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1923-b5b5-da0bbd108435,Down,Docker,S3,0.0,466665553.7,4.0,464632245.6
1820,2019-03-14T18:25:00.000Z,QBOX-4000-0000-1000-000000000001,,14/03/2019\ 18:25:24,14/03/2019\ 18:25:21,,,,QBOX-4000-0000-1000-000000000001,SCDL-a83c-1d2e-d000-6652156e1093,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1925-4f35-da4aa052f305,Down,Docker,,0.0,32468163.0,3.0,32468163.0
1821,2019-03-14T18:26:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 18:26:11,14/03/2019\ 18:26:08,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-b3ef-36e7-e1ea-3f990ee38eee,33574517de06a3434b7e86c4e34a727eaf60fbed4d85b6d2ac586f55cfb4f768,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-1926-1ef6-7aa801e86ec3,Down,Docker,Docker,148.33333333333334,1455577885.0,4.0,1453766228.3333333
1822,2019-03-14T18:27:00.000Z,QBOX-2000-0000-0000-000000000004,,14/03/2019\ 18:26:52,14/03/2019\ 18:26:51,,,,QBOX-2000-0000-0000-000000000004,SCDL-4268-818f-5fb5-cc95601e7396,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1926-c108-2a61718987df,Down,Docker,,8122408.0,2175494488.6,2.6,2175599829.2
1823,2019-03-14T18:28:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 18:28:45,14/03/2019\ 18:28:43,UserData,UserData,Down,QBOX-9000-0000-0000-000000000005,SCDL-878d-824b-7e2e-4cb0bdbe7a29,fb9cecfb45eed643a09ee618bd77e5cfc781ee1829ccd52bd9eccd263298e073,QSES-0314-1926-1ef6-7aa801e86ec3,Completed,QJOB-0314-1926-6069-5eec89134020,Down,S3,S3,67.07317073170732,212021639.97560972,2.6341463414634148,211888296.92682928
1825,2019-03-14T18:30:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 18:30:58,14/03/2019\ 18:30:55,UserData,UserData,Down,QBOX-4000-0000-1000-000000000005,SCDL-8b14-9846-8ba5-8548aec0d94e,fb9cecfb45eed643a09ee618bd77e5cfc781ee1829ccd52bd9eccd263298e073,QSES-0314-1926-1ef6-7aa801e86ec3,Completed,QJOB-0314-1926-6f25-2ddb5e2cef98,Down,QDisk,S3,416.66666666666674,1050.0,1.6666666666666667,416.66666666666674
