time,transfer_history.first_attached_node,transfer_history.last_chunk_id,transfer_history.last_completion_date_string,transfer_history.last_creation_date_string,transfer_history.last_data_type,transfer_history.last_data_type_1,transfer_history.last_direction,transfer_history.last_qbox,transfer_history.last_qguid,transfer_history.last_remote_location_name,transfer_history.last_session,transfer_history.last_state,transfer_history.last_task,transfer_history.last_transfer_direction,transfer_history.last_transfer_type,transfer_history.last_transfer_type_1,transfer_history.mean_actually_transferred_size,transfer_history.mean_cached_data_size,transfer_history.mean_time_transfer_sec,transfer_history.mean_transfer_size
2019-03-13T15:02:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:03:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:04:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:05:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:06:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:07:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:08:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:09:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:10:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 15:10:27,13/03/2019\ 15:10:21,,,,QBOX-6000-0000-0000-000000000004,SCDL-ff6d-462b-6ceb-1b692acaf76f,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,QDisk,,0,47781456.333333336,6,44627521
2019-03-13T15:11:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:12:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:13:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:14:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:15:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:16:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:17:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:18:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:19:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:20:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:21:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:22:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:23:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:24:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:25:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:26:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:27:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:28:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:29:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:30:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:31:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:32:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:33:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:34:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:35:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:36:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:37:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:38:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:39:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:40:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:41:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:42:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:43:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:44:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:45:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:46:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:47:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:48:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 15:48:06,13/03/2019\ 15:47:59,,,,QBOX-6000-0000-0000-000000000005,SCDL-f233-4491-e067-a93bd738f6d4,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,QDisk,,0,47781456.333333336,7.5,44627521
2019-03-13T15:49:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:50:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:51:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:52:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:53:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:54:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:55:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:56:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:57:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:58:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:59:00.000Z,,,,,,,,,,,,,,,,,,,,
