,actually_transferred_size,direction,id,node,profile,res,size,subtime,time_taken,type,job_id,workload_name,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata,ratio_minus_1
1328,414770.0,Up,1328,QBOX-4000-0000-1000-000000000005,1328_profile,1,306288.0,52073.0,6.0,S3,1328,ec5494,52073.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52073.000060000006,0.013318,52073.013377999996,5.9999999999999995e-05,0.013378,1.004506,1695 1707,0.0,,449.5180958101817
1329,414770.0,Up,1329,QBOX-4000-0000-1000-000000000005,1329_profile,1,306288.0,52074.0,8.0,S3,1329,ec5494,52074.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52074.000045,0.013318,52074.013363,4.5e-05,0.013363,1.003379,1695 1707,0.0,,599.6907944135756
1330,414770.0,Up,1330,QBOX-4000-0000-1000-000000000005,1330_profile,1,306288.0,52076.0,9.0,S3,1330,ec5494,52076.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52076.000045,0.013318,52076.013363,4.5e-05,0.013363,1.003379,1695 1707,0.0,,674.7771437152726
1331,414770.0,Up,1331,QBOX-6000-0000-0000-000000000001,1331_profile,1,306288.0,52081.0,5.0,S3,1331,ec5494,52081.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52081.000045,0.043182,52081.043226999995,4.5e-05,0.043227,1.001042,1699 1707,0.0,,114.78898615163726
1332,414770.0,Up,1332,QBOX-4000-0000-1000-000000000002,1332_profile,1,306288.0,52035.0,50.0,S3,1332,ec5494,52035.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52035.000060000006,0.013318,52035.013377999996,5.9999999999999995e-05,0.013378,1.004506,1692 1707,0.0,,3753.3174650848478
1333,414770.0,Up,1333,QBOX-4000-0000-1000-000000000002,1333_profile,1,306288.0,52040.0,45.0,S3,1333,ec5494,52040.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52040.000045,0.013318,52040.013363,4.5e-05,0.013363,1.003379,1692 1707,0.0,,3377.885718576363
1334,414770.0,Up,1334,QBOX-4000-0000-1000-000000000002,1334_profile,1,306288.0,52041.0,44.0,S3,1334,ec5494,52041.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52041.000075,0.013318,52041.013393,7.5e-05,0.013393,1.005632,1692 1707,0.0,,3302.799369274666
1335,414770.0,Up,1335,QBOX-4000-0000-1000-000000000002,1335_profile,1,306288.0,52044.0,44.0,S3,1335,ec5494,52044.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52044.000060000006,0.013318,52044.013377999996,5.9999999999999995e-05,0.013378,1.004506,1692 1707,0.0,,3302.799369274666
1336,414770.0,Up,1336,QBOX-2000-0000-0000-000000000002,1336_profile,1,306288.0,52084.0,7.0,S3,1336,ec5494,52084.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52084.000045,0.026591000000000004,52084.026636,4.5e-05,0.026636,1.001693,1688 1707,0.0,,262.2469632582452
1337,414770.0,Up,1337,QBOX-2000-0000-0000-000000000002,1337_profile,1,306288.0,52085.0,6.0,S3,1337,ec5494,52085.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52085.000045,0.026591000000000004,52085.026636,4.5e-05,0.026636,1.001693,1688 1707,0.0,,224.64025422135308
