time,qchunk_state.completion_date_string,qchunk_state.cpu_average_ghz,qchunk_state.cpu_model,qchunk_state.creation_date_string,qchunk_state.failed_range,qchunk_state.initial_range,qchunk_state.name,qchunk_state.name_1,qchunk_state.owner_qarnot_id,qchunk_state.priority,qchunk_state.processed_range,qchunk_state.q_mobo,qchunk_state.qguid,qchunk_state.resources_download_batches,qchunk_state.scaling_cpu_average_ghz,qchunk_state.scaling_time_compute_ghz,qchunk_state.serializer_session,qchunk_state.state,qchunk_state.state_1,qchunk_state.time_compute,qchunk_state.time_compute_ghz,qchunk_state.time_download,qchunk_state.time_environment,qchunk_state.time_upload
2019-05-06T05:20:00.000Z,,0,,06/05/2019\ 05:22:23,,[1-2],docker.base.config>docker.base>docker-batch>sample1-helloword-advanced,docker.base.config>docker.base>docker-batch>sample1-helloword-advanced,<Unknown>,-5,,MOBO-adf0-084e-ac12-00d861156aff,QJOB-0506-0722-5814-e451e7c9e99f,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T05:25:00.000Z,06/05/2019\ 05:25:40,0,AMD\ Ryzen\ 7\ 2700X\ Eight-Core\ Processor,06/05/2019\ 05:22:23,,[0-1],docker.base.config>docker.base>docker-batch>sample1-helloword-advanced,docker.base.config>docker.base>docker-batch>sample1-helloword-advanced,<Unknown>,-5,[0-1],MOBO-adf0-084e-ac12-00d8611575c2,QJOB-0506-0722-5814-e451e7c9e99f,"SCDL-fde7-eefe-1b61-d2668d4aeb87\,SCDL-3ad5-c23d-1617-d9c752400600",0,0,00000000-0000-0000-0000-000000000000,Completed,Completed,10,0,1290,670,10
2019-05-06T05:30:00.000Z,06/05/2019\ 05:31:23,0,AMD\ Ryzen\ 7\ 2700X\ Eight-Core\ Processor,06/05/2019\ 05:12:42,,[0-1],docker.base.config>docker.base>docker-network-ssh>amplisim>calmet_www.amplisim.com_34_303,docker.base.config>docker.base>docker-network-ssh>amplisim>calmet_www.amplisim.com_34_303,<Unknown>,1,[0-1],MOBO-adf0-094e-09e2-00d8611556aa,QJOB-0506-0712-a011-eae940df8595,"SCDL-34a9-c31b-a15a-4ba951f1fe13\,SCDL-26d2-0b53-e23a-67592f9de3f1\,SCDL-72b8-87a9-087a-b89d07e5ac89",0,7421.22900390625,00000000-0000-0000-0000-000000000000,Completed,Completed,1980,7214.435546875,7870,710,630
2019-05-06T05:35:00.000Z,06/05/2019\ 05:39:28,0,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 05:04:23,,[36-37],docker.base.config>docker.base>docker-mining>money\ money\ money\ qualif,docker.base.config>docker.base>docker-mining>money money money qualif,_coin_miner,-15,,MOBO-58d8-00d7-8a07-309c23a7814a,QJOB-0327-1429-cd5a-5439696fab1f,"SCDL-deb3-05bf-d5df-c3b5f0f61fa3\,SCDL-5faf-b153-f631-6e5bde741173",0,46211.3203125,00000000-0000-0000-0000-000000000000,Preempted,Preempted,16880,57358.015625,3460,700,0
2019-05-06T05:40:00.000Z,06/05/2019\ 05:43:40,0,AMD\ Ryzen\ 7\ 2700X\ Eight-Core\ Processor,06/05/2019\ 05:31:05,,[0-1],docker.base.config>docker.base>docker-batch>sample3-dockerhub-library/debian:jessie,docker.base.config>docker.base>docker-batch>sample3-dockerhub-library/debian:jessie,<Unknown>,-5,[0-1],MOBO-adf0-084e-ac12-00d861156aff,QJOB-0506-0731-09fc-cd59fb82a6a7,"SCDL-0543-12f5-3e1b-cb5d68a8ffe2\,SCDL-b659-1f28-d903-dc04fd412d0b",0,0,00000000-0000-0000-0000-000000000000,Completed,Completed,10,0,6710,820,10
2019-05-06T05:45:00.000Z,,0,,06/05/2019\ 05:48:32,,[129-130],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-0400-9fa3-0394-94de80a6aa65,QJOB-0425-1504-9b73-148267a8fd96,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T05:50:00.000Z,06/05/2019\ 05:51:02,0,,06/05/2019\ 05:31:03,,[0-1],docker.base.config>docker.base>docker-batch>sample3-dockerhub-archlinux/base:latest,docker.base.config>docker.base>docker-batch>sample3-dockerhub-archlinux/base:latest,<Unknown>,-5,,MOBO-adf0-084e-ac24-00d861156a98,QJOB-0506-0731-04ac-58364d9c52db,,0,0,00000000-0000-0000-0000-000000000000,Preempted,Preempted,0,0,11990,0,0
2019-05-06T05:55:00.000Z,06/05/2019\ 05:56:00,0,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 05:02:05,,[186-187],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-58d8-00d7-89a1-309c23a7860f,QJOB-0425-1504-9b73-148267a8fd96,"SCDL-2ea7-a22b-b784-c55f1c224326\,SCDL-6c2e-5589-bcb0-77df962429b6",0,73249.5078125,00000000-0000-0000-0000-000000000000,Preempted,Preempted,21410,72712.484375,10020,910,0
2019-05-06T06:00:00.000Z,,0,,06/05/2019\ 06:02:32,,[1-2],docker.base.config>docker.base>docker-mining>money\ money\ money\ qualif,docker.base.config>docker.base>docker-mining>money money money qualif,_coin_miner,-15,,MOBO-58d8-00d7-87d0-309c23845a64,QJOB-0327-1429-cd5a-5439696fab1f,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T06:05:00.000Z,,0,,06/05/2019\ 06:08:11,,[148-149],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-58d8-00d7-89a1-309c23a7860f,QJOB-0425-1504-9b73-148267a8fd96,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T06:10:00.000Z,,0,,06/05/2019\ 06:13:55,,[0-1],docker.base.config>docker.base>docker-network-ssh>amplisim>calmet_www.amplisim.com_34_303,docker.base.config>docker.base>docker-network-ssh>amplisim>calmet_www.amplisim.com_34_303,<Unknown>,1,,MOBO-adf0-094e-09e2-00d8611556aa,QJOB-0506-0813-d133-875cfd57fd27,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T06:15:00.000Z,,0,,06/05/2019\ 06:15:03,,[148-149],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-58d8-00d7-8806-309c23a781bf,QJOB-0425-1504-9b73-148267a8fd96,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T06:20:00.000Z,,0,,06/05/2019\ 06:23:07,,[176-177],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-58d8-00d7-89a1-309c23a7860f,QJOB-0425-1504-9b73-148267a8fd96,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T06:25:00.000Z,06/05/2019\ 06:26:02,0,Intel(R)\ Core(TM)\ i7-4770K\ CPU\ @\ 3.50GHz,06/05/2019\ 05:47:39,,[103-104],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-0400-9fa3-0478-94de80a55c8a,QJOB-0425-1504-9b73-148267a8fd96,"SCDL-4c83-1daf-3c22-b5fbaa2e8ff2\,SCDL-894c-fd71-a1e6-14329aed618b",0,82929.9453125,00000000-0000-0000-0000-000000000000,Preempted,Preempted,22500,78623.2421875,10,520,0
2019-05-06T06:30:00.000Z,,0,,06/05/2019\ 06:33:30,,[36-37],docker.base.config>docker.base>docker-mining>money\ money\ money\ qualif,docker.base.config>docker.base>docker-mining>money money money qualif,_coin_miner,-15,,MOBO-58d8-00d7-8a07-309c23a7814a,QJOB-0327-1429-cd5a-5439696fab1f,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T06:35:00.000Z,,0,,06/05/2019\ 06:36:08,,[98-99],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-0400-9ea3-f23a-94de80a6aa54,QJOB-0425-1504-9b73-148267a8fd96,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T06:40:00.000Z,,0,,06/05/2019\ 06:43:44,,[179-180],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-0400-9ea3-a26f-902b34dcf0a8,QJOB-0425-1504-9b73-148267a8fd96,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
